fecha;email;resultado;fecha_respuesta;respuesta_servidor
2024-02-25 06:26:09.815609;jessica22@example.net;POSITIVO;2024-02-25 06:26:09.823862;"Email received successfully"
2024-02-25 06:26:09.824075;odrake@example.org;POSITIVO;2024-02-25 06:26:09.832472;"Email received successfully"
2024-02-25 06:26:09.832801;mortonjames@example.org;POSITIVO;2024-02-25 06:26:09.841642;"Email received successfully"
2024-02-25 06:26:09.841940;cruzcorey@example.net;POSITIVO;2024-02-25 06:26:09.850468;"Email received successfully"
2024-02-25 06:26:09.850705;shane79@example.net;POSITIVO;2024-02-25 06:26:09.860118;"Email received successfully"
2024-02-25 06:26:09.860330;rodneyrichardson@example.com;POSITIVO;2024-02-25 06:26:09.869149;"Email received successfully"
2024-02-25 06:26:09.869345;ryanhoward@example.org;POSITIVO;2024-02-25 06:26:09.878006;"Email received successfully"
2024-02-25 06:26:09.878227;leachshannon@example.net;POSITIVO;2024-02-25 06:26:09.887149;"Email received successfully"
2024-02-25 06:26:09.887380;davidsanders@example.org;POSITIVO;2024-02-25 06:26:09.896392;"Email received successfully"
2024-02-25 06:26:09.896690;shealaura@example.net;POSITIVO;2024-02-25 06:26:09.906452;"Email received successfully"
2024-02-25 06:26:09.906635;danielellis@example.com;POSITIVO;2024-02-25 06:26:09.916911;"Email received successfully"
2024-02-25 06:26:09.917148;danielcarlson@example.com;POSITIVO;2024-02-25 06:26:09.926104;"Email received successfully"
2024-02-25 06:26:09.926277;annelittle@example.com;POSITIVO;2024-02-25 06:26:09.934714;"Email received successfully"
2024-02-25 06:26:09.934949;ushelton@example.com;POSITIVO;2024-02-25 06:26:09.943819;"Email received successfully"
2024-02-25 06:26:09.944016;mreid@example.net;POSITIVO;2024-02-25 06:26:09.952241;"Email received successfully"
2024-02-25 06:26:09.952483;alecthornton@example.net;NEGATIVO;2024-02-25 06:26:09.961340;"Email received successfully"
2024-02-25 06:26:09.961467;lisa08@example.org;POSITIVO;2024-02-25 06:26:09.969468;"Email received successfully"
2024-02-25 06:26:09.969642;carrie26@example.net;POSITIVO;2024-02-25 06:26:09.978961;"Email received successfully"
2024-02-25 06:26:09.979095;jennifer71@example.org;POSITIVO;2024-02-25 06:26:09.987254;"Email received successfully"
